BETA_STD_1 BETA_STD_2 C
-0.05975456825753313 -0.12342421659822593 0
-0.05899171894472523 -0.11261937882880974 0
-0.08686653884562981 -0.06492814696558899 0
-0.057102300842535675 0.0026783362238736765 0
-0.05441202361131508 0.04519051676086645 0
-0.15236642982863946 -0.17392454917380268 0
0.1129968407254876 -0.01932369575989544 0
-0.0073444202365779004 0.0775876256874733 0
0.043220806306702025 0.035197614020365156 0
-0.0735524493687229 0.011190506810421958 0
-0.020621056800348536 0.0366405208995129 0
-0.20080875052931196 -0.1453254778092174 3
-0.03247870215468275 0.014888100722306861 0
0.05892647754907081 -0.024384114766057403 0
-0.15991149302885144 -0.0023543015522104645 0
0.058463205264871226 0.05946452494927437 0
0.11821075699215583 0.07568409424443343 0
0.10959882615419646 -0.00042014248085009767 0
0.10863054685273588 0.00708074326254559 0
-0.1821206641785059 0.03158456045262921 0
-0.2035387963206294 -0.21633515586772314 3
0.05178886151724764 0.05231289861912459 0
0.055224931645377416 0.03562861282905244 0
-0.1810970751795093 0.0009781322290032838 1
0.1430349381676201 0.09632228691267154 0
0.05759679387390687 0.003180297742725123 0
0.010606064105801928 -0.02519100262522792 0
0.003304039455867727 0.024793628109512307 0
-0.044718473896226726 -0.05031647609196817 0
0.05880480018253906 0.07357906786643077 0
0.029054215478243287 0.018802524075353953 0
-0.11038477834826231 -0.0932859830349637 0
-0.007125528747001522 -0.007916265758193562 0
0.055098593764619265 0.06852796823993208 0
-0.09555742369564046 -0.07232138160399297 0
0.05391525920222987 0.04410992193843619 0
0.024433197450158137 -0.008796318305148322 0
-0.0052678808049739095 0.05703532942818392 0
0.02607242415898382 -0.008629352009655524 0
0.05127020785442757 0.0401517163701257 0
0.011556359556863585 -0.00471368410836373 0
-0.06160478771190682 0.019825546381992118 2
0.0020904074483919337 0.08171796546558421 0
0.023425689544894462 -0.009349358770174745 0
-0.0027329744914463792 -0.024936166587867653 0
-0.018006508042609833 0.018152670493853284 0
-0.07058850130810325 -0.07749100651553902 0
0.04809337910842154 0.005512562901709102 0
-0.019377870644971186 0.02845589905288225 0
-0.06691653055991945 -0.035190085963334485 0
0.049415132346497914 0.06169862989250352 0
0.01718436654904815 -0.05305909022277552 0
0.01802485897046958 -0.0477422622255988 0
-0.05044607161981938 0.009780494114456232 0
0.01276668743057197 -0.0142612884164116 0
0.011229957755259808 -0.03647691307478808 0
-0.019788009023863313 -0.05126673339252327 0
0.06852640530254485 0.04687517669810374 0
0.07441275117998179 0.04509334040677652 0
0.03847615150861948 0.058804580357461375 0
0.03949318582369193 -0.0837766462446468 0
0.007510505951663975 0.025884733750998368 0
0.005569386523947381 0.012305306331185501 0
-0.02757529577443558 -0.003977313969063586 0
0.029054104722974403 -0.0005706670151996967 0
0.08405908081495195 0.002496223952532744 0
0.04455338807953457 -0.060224793503954724 0
0.008253420809881503 -0.009352640253627881 0
-0.03232123868186523 -0.016972444885047063 0
-0.011712775103401157 -0.034384909492761594 0
-0.056982472816192065 -0.027443581423594238 0
-0.028037347957422347 -0.03012793064802315 0
-0.03492142880394844 -0.01526987016104888 0
0.03191378439286383 0.028694162825646956 0
-0.01673512509619117 0.020266272123024967 0
-0.008720543734146855 0.03826164899458993 0
-0.023492198216792284 0.0479372677230763 0
-0.05705672628619816 0.07048021147802787 0
-0.06179669824907312 0.09929259968438317 0
0.028661551608429887 0.018494241768443886 0
-0.05424100564261348 -0.06727364208714234 0
0.027784567492145543 0.0509447051876743 0
0.003621242556265806 -0.013470252216196556 0
0.03858969778102042 0.10518311245393339 0
0.012448270567014637 -0.05169157128168934 0
0.009948007471059755 -0.09734058675899365 0
0.053630136974868445 -0.07014324804549942 0
-0.08006546562478234 0.033628568018900136 0
0.010978089994810779 0.06420908128771892 0
-0.005783645586177239 0.006290790588066968 0
-0.026908635325559482 0.00502221071162298 0
0.05853689381885231 -0.07342544025187889 0
0.03363106112159457 0.10446904030503912 0
-0.03177808002538818 -0.05071732188977661 0
0.03480071211356939 0.10375403500080406 0
-0.031537279761774416 0.014294432528392763 0
-0.04478765189123894 -0.044222064548091675 0
0.07783445825980642 0.05643028277030142 0
-0.022313029505166653 -0.022163887882831423 0
0.018941800311730202 -0.04274317383934708 0
